2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
"      Miscellaneous textile, apparel, and furnishings workers",'51-6090,Summary,55.4,53.1,-2.2,-4.0,6.5,5.4,12.0,3.5,3.0,6.5,6.3,
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",'51-6091,Line item,15.2,15.0,-0.2,-1.1,7.2,6.2,13.4,1.1,0.9,2.0,2.0,
        Fabric and apparel patternmakers,'51-6092,Line item,2.8,2.5,-0.3,-10.2,7.2,6.2,13.4,0.2,0.2,0.4,0.3,
        Upholsterers,'51-6093,Line item,22.7,22.3,-0.4,-1.8,5.6,4.3,10.0,1.3,1.0,2.2,2.2,
"        Textile, apparel, and furnishings workers, all other",'51-6099,Line item,14.7,13.3,-1.4,-9.4,7.2,6.2,13.4,1.0,0.9,1.9,1.7,
    Woodworkers,'51-7000,Summary,233.5,229.3,-4.3,-1.8,4.2,6.1,10.2,9.6,14.1,23.7,23.3,
      Cabinetmakers and bench carpenters,'51-7011,Line item,86.0,84.7,-1.4,-1.6,4.3,5.4,9.7,3.6,4.6,8.3,8.1,
      Furniture finishers,'51-7021,Line item,20.5,19.8,-0.7,-3.3,5.5,4.7,10.2,1.1,0.9,2.1,2.0,
"      Model makers and patternmakers, wood",'51-7030,Summary,1.4,1.3,-0.1,-4.6,4.5,6.2,10.7,0.1,0.1,0.1,0.1,
"        Model makers, wood",'51-7031,Line item,0.9,0.9,0.0,-4.5,4.5,6.2,10.7,0.0,0.1,0.1,0.1,
"        Patternmakers, wood",'51-7032,Line item,0.5,0.4,0.0,-5.0,4.5,6.2,10.7,0.0,0.0,0.0,0.0,
"      Woodworking machine setters, operators, and tenders",'51-7040,Summary,108.0,106.6,-1.4,-1.3,3.7,6.8,10.6,4.0,7.3,11.4,11.2,
"        Sawing machine setters, operators, and tenders, wood",'51-7041,Line item,45.0,44.7,-0.3,-0.6,3.9,6.9,10.8,1.7,3.1,4.8,4.8,
"        Woodworking machine setters, operators, and tenders, except sawing",'51-7042,Line item,63.1,61.9,-1.1,-1.8,3.7,6.8,10.4,2.3,4.2,6.5,6.4,
"      Woodworkers, all other",'51-7099,Line item,17.6,16.8,-0.8,-4.4,4.5,6.2,10.7,0.8,1.1,1.8,1.8,
    Plant and system operators,'51-8000,Summary,297.9,282.0,-15.9,-5.3,3.3,6.2,9.5,9.5,17.9,27.4,25.8,
"      Power plant operators, distributors, and dispatchers",'51-8010,Summary,46.6,41.9,-4.7,-10.1,3.7,5.9,9.6,1.6,2.6,4.2,3.8,
        Nuclear power reactor operators,'51-8011,Line item,5.7,4.9,-0.9,-15.3,3.7,5.9,9.6,0.2,0.3,0.5,0.4,
        Power distributors and dispatchers,'51-8012,Line item,9.3,9.0,-0.3,-3.2,3.7,5.9,9.6,0.3,0.5,0.9,0.8,
        Power plant operators,'51-8013,Line item,31.6,28.0,-3.5,-11.2,3.7,5.9,9.6,1.1,1.8,2.8,2.5,
      Stationary engineers and boiler operators,'51-8021,Line item,33.3,34.0,0.7,2.2,4.4,6.6,11.0,1.5,2.2,3.7,3.8,
      Water and wastewater treatment plant and system operators,'51-8031,Line item,132.4,123.8,-8.7,-6.5,3.3,5.7,9.0,4.2,7.3,11.5,10.7,
      Miscellaneous plant and system operators,'51-8090,Summary,85.6,82.3,-3.2,-3.8,2.6,6.9,9.4,2.2,5.8,7.9,7.6,
        Chemical plant and system operators,'51-8091,Line item,18.1,17.0,-1.1,-6.1,2.6,6.9,9.4,0.5,1.2,1.7,1.6,
        Gas plant operators,'51-8092,Line item,16.2,14.8,-1.4,-8.8,2.6,6.9,9.4,0.4,1.1,1.5,1.3,
"        Petroleum pump system operators, refinery operators, and gaugers",'51-8093,Line item,34.9,34.0,-1.0,-2.8,2.6,6.9,9.4,0.9,2.4,3.3,3.2,
"        Plant and system operators, all other",'51-8099,Line item,16.3,16.6,0.3,1.6,2.6,6.9,9.4,0.4,1.1,1.6,1.6,
    Other production occupations,'51-9000,Summary,"2,622.3","2,601.5",-20.8,-0.8,4.3,6.7,11.1,112.9,176.1,289.0,286.9,
"      Chemical processing machine setters, operators, and tenders",'51-9010,Summary,183.2,185.2,1.9,1.0,3.1,7.6,10.7,5.7,13.9,19.7,19.8,
        Chemical equipment operators and tenders,'51-9011,Line item,128.9,133.1,4.3,3.3,3.1,7.6,10.7,4.1,9.9,14.0,14.4,
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",'51-9012,Line item,54.4,52.0,-2.3,-4.3,3.1,7.6,10.7,1.7,4.0,5.7,5.4,
"      Crushing, grinding, polishing, mixing, and blending workers",'51-9020,Summary,141.5,131.5,-10.1,-7.1,3.3,6.5,9.8,4.5,8.8,13.3,12.3,
"        Crushing, grinding, and polishing machine setters, operators, and tenders",'51-9021,Line item,28.7,27.9,-0.7,-2.5,3.3,6.5,9.8,0.9,1.8,2.8,2.7,
"        Grinding and polishing workers, hand",'51-9022,Line item,11.8,9.3,-2.5,-21.2,3.3,6.5,9.8,0.3,0.7,1.0,0.8,
"        Mixing and blending machine setters, operators, and tenders",'51-9023,Line item,101.1,94.3,-6.8,-6.8,3.3,6.5,9.8,3.2,6.3,9.5,8.8,
      Cutting workers,'51-9030,Summary,56.0,53.6,-2.4,-4.3,5.3,6.0,11.3,2.9,3.3,6.2,5.9,
"        Cutters and trimmers, hand",'51-9031,Line item,7.0,5.7,-1.3,-18.1,5.3,6.0,11.3,0.3,0.4,0.7,0.6,
"        Cutting and slicing machine setters, operators, and tenders",'51-9032,Line item,49.0,47.9,-1.1,-2.3,5.3,6.0,11.3,2.6,2.9,5.5,5.3,
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",'51-9041,Line item,57.3,58.4,1.1,2.0,2.6,6.2,8.8,1.5,3.6,5.1,5.2,
"      Furnace, kiln, oven, drier, and kettle operators and tenders",'51-9051,Line item,16.5,17.0,0.5,3.0,4.5,6.5,11.0,0.7,1.1,1.8,1.9,
"      Inspectors, testers, sorters, samplers, and weighers",'51-9061,Line item,598.0,598.1,0.1,0.0,4.7,7.0,11.7,27.8,42.1,69.9,69.9,
      Jewelers and precious stone and metal workers,'51-9071,Line item,35.1,33.2,-1.9,-5.5,6.5,5.7,12.2,2.2,1.9,4.2,4.0,
      Dental and ophthalmic laboratory technicians and medical appliance technicians,'51-9080,Summary,66.8,66.0,-0.7,-1.1,5.3,6.5,11.8,3.5,4.3,7.8,7.7,
        Dental laboratory technicians,'51-9081,Line item,35.2,33.6,-1.6,-4.7,5.3,6.5,11.8,1.8,2.2,4.0,3.9,
        Medical appliance technicians,'51-9082,Line item,12.0,12.4,0.4,3.7,5.3,6.5,11.8,0.6,0.8,1.4,1.5,
        Ophthalmic laboratory technicians,'51-9083,Line item,19.6,20.0,0.5,2.3,5.3,6.5,11.8,1.0,1.3,2.3,2.4,
      Packaging and filling machine operators and tenders,'51-9111,Line item,381.2,398.2,17.0,4.5,4.9,6.3,11.2,19.1,24.5,43.6,45.3,
      Painting workers,'51-9120,Summary,174.3,175.6,1.3,0.7,3.4,6.0,9.5,6.0,10.6,16.6,16.7,
"        Painting, coating, and decorating workers",'51-9123,Line item,8.8,8.9,0.1,1.4,3.4,6.0,9.5,0.3,0.5,0.8,0.8,
"        Coating, painting, and spraying machine setters, operators, and tenders",'51-9124,Line item,165.5,166.7,1.2,0.7,3.4,6.0,9.5,5.7,10.0,15.7,15.8,
      Semiconductor processing technicians,'51-9141,Line item,31.9,35.4,3.5,10.9,3.9,6.8,10.7,1.3,2.3,3.6,3.9,
      Photographic process workers and processing machine operators,'51-9151,Line item,11.2,10.9,-0.3,-2.6,4.9,9.1,14.0,0.5,1.0,1.6,1.5,
      Computer numerically controlled tool operators and programmers,'51-9160,Summary,205.4,190.0,-15.4,-7.5,2.8,6.3,9.2,5.6,12.5,18.1,16.6,
        Computer numerically controlled tool operators,'51-9161,Line item,177.1,158.1,-19.0,-10.7,2.8,6.3,9.2,4.7,10.6,15.4,13.5,
        Computer numerically controlled tool programmers,'51-9162,Line item,28.3,31.9,3.6,12.8,2.8,6.3,9.2,0.8,1.9,2.8,3.1,
      Miscellaneous production workers,'51-9190,Summary,663.9,648.4,-15.4,-2.3,4.8,7.0,11.8,31.4,46.2,77.6,76.0,
        Adhesive bonding machine operators and tenders,'51-9191,Line item,12.2,12.3,0.1,1.0,4.6,6.1,10.7,0.6,0.7,1.3,1.3,
"        Cleaning, washing, and metal pickling equipment operators and tenders",'51-9192,Line item,14.6,15.2,0.5,3.6,3.9,6.8,10.7,0.6,1.0,1.6,1.6,
        Cooling and freezing equipment operators and tenders,'51-9193,Line item,7.1,7.6,0.5,7.2,3.9,6.8,10.7,0.3,0.5,0.8,0.8,
        Etchers and engravers,'51-9194,Line item,8.6,8.6,-0.1,-0.7,4.8,5.5,10.3,0.4,0.5,0.9,0.9,
"        Molders, shapers, and casters, except metal and plastic",'51-9195,Line item,41.7,44.3,2.6,6.2,6.2,5.9,12.1,2.7,2.5,5.2,5.5,
"        Paper goods machine setters, operators, and tenders",'51-9196,Line item,97.5,91.4,-6.1,-6.3,3.7,5.5,9.2,3.5,5.2,8.7,8.1,
        Tire builders,'51-9197,Line item,20.9,21.4,0.5,2.3,4.5,7.3,11.8,1.0,1.5,2.5,2.5,
        Helpers--production workers,'51-9198,Line item,168.5,153.5,-15.0,-8.9,6.7,8.9,15.6,10.8,14.4,25.1,23.6,
"        Production workers, all other",'51-9199,Line item,292.8,294.3,1.5,0.5,3.9,6.8,10.7,11.6,19.8,31.4,31.6,
  Transportation and material moving occupations,'53-0000,Summary,"14,204.6","14,784.4",579.9,4.1,5.3,6.9,12.2,768.2,"1,003.8","1,772.0","1,830.0",
    Supervisors of transportation and material moving workers,'53-1000,Summary,619.9,643.0,23.1,3.7,3.4,6.2,9.5,21.2,38.9,60.1,62.4,
      Aircraft cargo handling supervisors,'53-1041,Line item,10.3,10.8,0.5,5.2,3.4,6.2,9.5,0.4,0.7,1.0,1.1,
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",'53-1047,Line item,609.6,632.2,22.5,3.7,3.4,6.2,9.5,20.8,38.3,59.1,61.3,
    Air transportation workers,'53-2000,Summary,327.3,347.0,19.8,6.0,4.7,7.1,11.8,15.9,23.9,39.8,41.8,
      Aircraft pilots and flight engineers,'53-2010,Summary,155.4,162.2,6.7,4.3,3.8,7.2,11.0,6.1,11.5,17.5,18.2,
"        Airline pilots, copilots, and flight engineers",'53-2011,Line item,100.0,103.9,3.9,3.9,3.8,7.2,11.0,3.9,7.4,11.3,11.7,
        Commercial pilots,'53-2012,Line item,55.4,58.3,2.8,5.1,3.8,7.2,11.0,2.2,4.1,6.3,6.6,
      Air traffic controllers and airfield operations specialists,'53-2020,Summary,41.0,42.0,1.0,2.5,2.4,6.5,8.9,1.0,2.7,3.7,3.8,
        Air traffic controllers,'53-2021,Line item,24.1,24.4,0.3,1.2,2.4,6.5,8.9,0.6,1.6,2.2,2.2,
        Airfield operations specialists,'53-2022,Line item,16.9,17.6,0.7,4.2,2.4,6.5,8.9,0.4,1.1,1.5,1.6,
      Flight attendants,'53-2031,Line item,130.8,142.9,12.1,9.2,6.4,7.1,13.6,8.8,9.8,18.6,19.8,
    Motor vehicle operators,'53-3000,Summary,"4,852.0","5,111.1",259.1,5.3,5.3,5.4,10.8,266.1,270.2,536.3,562.2,
"      Ambulance drivers and attendants, except emergency medical technicians",'53-3011,Line item,12.3,12.1,-0.2,-1.3,3.8,8.0,11.8,0.5,1.0,1.4,1.4,
      Driver/sales workers and truck drivers,'53-3030,Summary,"3,766.5","3,974.4",208.0,5.5,4.4,5.6,10.0,170.4,217.9,388.3,409.1,
        Driver/sales workers,'53-3031,Line item,451.5,491.3,39.8,8.8,4.4,5.6,10.0,20.8,26.5,47.3,51.3,
        Heavy and tractor-trailer truck drivers,'53-3032,Line item,"2,235.1","2,324.4",89.3,4.0,4.4,5.6,10.0,100.4,128.3,228.7,237.6,
        Light truck drivers,'53-3033,Line item,"1,079.8","1,158.6",78.9,7.3,4.4,5.6,10.0,49.3,63.0,112.3,120.2,
      Passenger vehicle drivers,'53-3050,Summary,994.0,"1,040.6",46.6,4.7,8.8,4.6,13.4,89.1,46.9,136.0,140.6,
"        Bus drivers, school",'53-3051,Line item,387.3,388.2,0.9,0.2,11.1,4.6,15.7,43.1,17.7,60.9,61.0,
"        Bus drivers, transit and intercity",'53-3052,Line item,158.8,165.6,6.8,4.3,8.0,4.5,12.4,12.9,7.3,20.2,20.9,
        Shuttle drivers and chauffeurs,'53-3053,Line item,243.9,260.3,16.4,6.7,9.0,4.7,13.7,22.7,11.9,34.6,36.3,
        Taxi drivers,'53-3054,Line item,204.0,226.6,22.6,11.1,4.8,4.6,9.4,10.4,9.9,20.3,22.6,
"      Motor vehicle operators, all other",'53-3099,Line item,79.3,84.0,4.7,6.0,7.5,5.5,13.0,6.1,4.5,10.6,11.1,
    Rail transportation workers,'53-4000,Summary,89.1,90.2,1.1,1.2,2.7,5.7,8.5,2.4,5.1,7.6,7.7,
      Locomotive engineers and operators,'53-4010,Summary,30.1,30.3,0.2,0.7,2.8,5.2,8.0,0.8,1.6,2.4,2.5,
        Locomotive engineers,'53-4011,Line item,27.0,27.2,0.2,0.7,2.8,5.2,8.0,0.8,1.4,2.2,2.2,
"        Rail yard engineers, dinkey operators, and hostlers",'53-4013,Line item,3.1,3.1,0.0,0.3,2.8,5.2,8.0,0.1,0.2,0.2,0.2,
"      Railroad brake, signal, and switch operators and locomotive firers",'53-4022,Line item,11.0,11.1,0.1,1.0,3.3,6.0,9.2,0.4,0.7,1.0,1.0,
      Railroad conductors and yardmasters,'53-4031,Line item,36.8,37.2,0.4,1.1,2.3,6.0,8.4,0.9,2.2,3.1,3.1,
      Subway and streetcar operators,'53-4041,Line item,9.6,9.9,0.3,3.4,3.3,6.0,9.2,0.3,0.6,0.9,0.9,
"      Rail transportation workers, all other",'53-4099,Line item,1.6,1.6,0.1,3.9,3.3,6.0,9.2,0.1,0.1,0.1,0.2,
    Water transportation workers,'53-5000,Summary,84.3,85.4,1.1,1.3,4.5,6.6,11.1,3.8,5.6,9.4,9.5,
      Sailors and marine oilers,'53-5011,Line item,32.1,32.8,0.7,2.3,4.3,7.4,11.7,1.4,2.4,3.8,3.9,
      Ship and boat captains and operators,'53-5020,Summary,43.5,43.7,0.2,0.5,4.6,5.9,10.6,2.0,2.6,4.6,4.6,
"        Captains, mates, and pilots of water vessels",'53-5021,Line item,40.7,40.9,0.2,0.5,4.6,5.9,10.6,1.9,2.4,4.3,4.3,
        Motorboat operators,'53-5022,Line item,2.7,2.8,0.0,1.4,4.6,5.9,10.6,0.1,0.2,0.3,0.3,
      Ship engineers,'53-5031,Line item,8.8,9.0,0.1,1.6,4.3,7.4,11.7,0.4,0.7,1.0,1.1,
    Other transportation workers,'53-6000,Summary,337.4,344.1,6.7,2.0,5.5,7.9,13.4,18.7,26.9,45.6,46.2,
      Bridge and lock tenders,'53-6011,Line item,2.9,2.8,-0.1,-3.3,4.2,5.9,10.1,0.1,0.2,0.3,0.3,
      Parking attendants,'53-6021,Line item,135.7,139.8,4.0,3.0,5.2,7.9,13.1,7.1,10.9,18.1,18.5,
      Transportation service attendants,'53-6030,Summary,128.1,128.5,0.4,0.3,5.4,9.2,14.6,6.9,11.8,18.7,18.8,
        Automotive and watercraft service attendants,'53-6031,Line item,100.0,99.0,-1.0,-1.0,5.4,9.2,14.6,5.4,9.2,14.5,14.4,
        Aircraft service attendants,'53-6032,Line item,28.0,29.5,1.4,5.1,5.4,9.2,14.6,1.5,2.7,4.2,4.3,
      Traffic technicians,'53-6041,Line item,7.9,8.2,0.3,3.7,4.2,5.9,10.1,0.3,0.5,0.8,0.8,
      Transportation inspectors,'53-6051,Line item,25.7,26.1,0.4,1.7,4.3,5.3,9.6,1.1,1.4,2.5,2.5,
      Passenger attendants,'53-6061,Line item,25.6,26.8,1.2,4.7,10.0,5.2,15.2,2.6,1.4,4.0,4.1,
"      Transportation workers, all other",'53-6099,Line item,11.5,11.9,0.4,3.8,4.2,5.9,10.1,0.5,0.7,1.2,1.2,
    Material moving workers,'53-7000,Summary,"7,894.6","8,163.5",268.9,3.4,5.5,7.9,13.4,440.0,633.2,"1,073.2","1,100.1",
      Conveyor operators and tenders,'53-7011,Line item,29.1,28.1,-1.0,-3.4,4.1,5.4,9.5,1.2,1.6,2.7,2.6,
      Crane and tower operators,'53-7021,Line item,42.3,43.5,1.3,3.0,2.9,5.6,8.5,1.2,2.4,3.7,3.8,
      Dredge operators,'53-7031,Line item,1.1,1.2,0.0,1.2,4.1,5.4,9.5,0.0,0.1,0.1,0.1,
      Hoist and winch operators,'53-7041,Line item,2.7,2.7,0.0,-1.1,4.1,5.4,9.5,0.1,0.1,0.3,0.3,
      Industrial truck and tractor operators,'53-7051,Line item,792.5,801.6,9.1,1.1,3.3,6.1,9.5,26.6,48.9,75.5,76.4,
      Laborers and material movers,'53-7060,Summary,"6,802.1","7,059.2",257.1,3.8,5.8,8.1,13.9,401.4,564.3,965.7,991.4,
        Cleaners of vehicles and equipment,'53-7061,Line item,410.1,426.2,16.0,3.9,5.6,7.4,13.0,23.6,31.0,54.5,56.2,
"        Laborers and freight, stock, and material movers, hand",'53-7062,Line item,"2,988.9","3,033.1",44.3,1.5,5.0,7.6,12.6,150.2,229.7,379.9,384.3,
        Machine feeders and offbearers,'53-7063,Line item,46.5,40.4,-6.0,-13.0,5.1,7.0,12.1,2.2,3.0,5.3,4.7,
"        Packers and packagers, hand",'53-7064,Line item,591.8,559.7,-32.2,-5.4,5.9,7.5,13.4,33.7,43.5,77.2,74.0,
        Stockers and order fillers,'53-7065,Line item,"2,764.8","2,999.8",235.0,8.5,6.7,8.9,15.6,191.7,257.1,448.8,472.3,
      Pumping station operators,'53-7070,Summary,37.3,36.7,-0.6,-1.7,3.8,7.5,11.3,1.4,2.8,4.2,4.1,
        Gas compressor and gas pumping station operators,'53-7071,Line item,5.4,5.3,-0.1,-1.3,3.8,7.5,11.3,0.2,0.4,0.6,0.6,
"        Pump operators, except wellhead pumpers",'53-7072,Line item,13.1,13.5,0.3,2.6,3.8,7.5,11.3,0.5,1.0,1.5,1.5,
        Wellhead pumpers,'53-7073,Line item,18.8,17.9,-0.9,-4.7,3.8,7.5,11.3,0.7,1.4,2.1,2.0,
      Refuse and recyclable material collectors,'53-7081,Line item,147.9,149.2,1.3,0.9,4.3,7.0,11.3,6.3,10.4,16.8,16.9,
"      Tank car, truck, and ship loaders",'53-7121,Line item,12.0,12.5,0.5,4.3,4.1,6.4,10.5,0.5,0.8,1.3,1.3,
"      Material moving workers, all other",'53-7199,Line item,27.7,28.9,1.2,4.3,4.1,6.4,10.5,1.2,1.8,3.0,3.1,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",',,,,,,,,,,,,,
