2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Motorboat operators,'53-5022,2.7,2.8,0.0,1.4,6.5,0.3,"51,880",Postsecondary nondegree award,Problem solving and decision making,Detail oriented,Adaptability,OOH Content
  Ship engineers,'53-5031,8.8,9.0,0.1,1.6,—,1.1,"101,320",Postsecondary nondegree award,Detail oriented,Adaptability,Mechanical,OOH Content
  Bridge and lock tenders,'53-6011,2.9,2.8,-0.1,-3.3,—,0.3,"58,490",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Parking attendants,'53-6021,135.7,139.8,4.0,3.0,—,18.5,"34,600",No formal educational credential,Detail oriented,Customer service,Interpersonal,—
  Automotive and watercraft service attendants,'53-6031,100.0,99.0,-1.0,-1.0,0.8,14.4,"34,850",No formal educational credential,Detail oriented,Customer service,Adaptability,—
  Aircraft service attendants[2],'53-6032,28.0,29.5,1.4,5.1,0.8,4.3,"41,540",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Mechanical,—
  Traffic technicians,'53-6041,7.9,8.2,0.3,3.7,1.1,0.8,"58,480",High school diploma or equivalent,Adaptability,Computers and information technology,Problem solving and decision making,—
  Transportation inspectors,'53-6051,25.7,26.1,0.4,1.7,6.3,2.5,"85,750",High school diploma or equivalent,Problem solving and decision making,Detail oriented,Adaptability,—
  Passenger attendants,'53-6061,25.6,26.8,1.2,4.7,—,4.1,"37,560",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,—
"  Transportation workers, all other[2]",'53-6099,11.5,11.9,0.4,3.8,2.9,1.2,"39,630",High school diploma or equivalent,Detail oriented,Adaptability,Customer service,—
  Conveyor operators and tenders,'53-7011,29.1,28.1,-1.0,-3.4,8.9,2.6,"41,230",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Crane and tower operators,'53-7021,42.3,43.5,1.3,3.0,—,3.8,"66,370",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Dredge operators,'53-7031,1.1,1.2,0.0,1.2,8.0,0.1,"48,430",High school diploma or equivalent,Fine motor,Problem solving and decision making,Adaptability,OOH Content
  Hoist and winch operators,'53-7041,2.7,2.7,0.0,-1.1,7.8,0.3,"52,310",No formal educational credential,Detail oriented,Problem solving and decision making,Fine motor,OOH Content
  Industrial truck and tractor operators,'53-7051,792.5,801.6,9.1,1.1,0.4,76.4,"46,390",No formal educational credential,Detail oriented,Fine motor,Adaptability,OOH Content
  Cleaners of vehicles and equipment,'53-7061,410.1,426.2,16.0,3.9,7.4,56.2,"35,270",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
"  Laborers and freight, stock, and material movers, hand",'53-7062,"2,988.9","3,033.1",44.3,1.5,1.3,384.3,"38,940",No formal educational credential,Detail oriented,Physical strength and stamina,Adaptability,OOH Content
  Machine feeders and offbearers,'53-7063,46.5,40.4,-6.0,-13.0,0.9,4.7,"39,700",No formal educational credential,Detail oriented,Fine motor,Adaptability,OOH Content
"  Packers and packagers, hand",'53-7064,591.8,559.7,-32.2,-5.4,0.7,74.0,"35,580",No formal educational credential,Detail oriented,Adaptability,Leadership,OOH Content
  Stockers and order fillers,'53-7065,"2,764.8","2,999.8",235.0,8.5,0.2,472.3,"37,090",No formal educational credential,Detail oriented,Adaptability,Customer service,OOH Content
  Gas compressor and gas pumping station operators,'53-7071,5.4,5.3,-0.1,-1.3,3.6,0.6,"71,510",High school diploma or equivalent,Detail oriented,Adaptability,Computers and information technology,—
"  Pump operators, except wellhead pumpers",'53-7072,13.1,13.5,0.3,2.6,3.6,1.5,"60,020",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,—
  Wellhead pumpers,'53-7073,18.8,17.9,-0.9,-4.7,3.6,2.0,"70,010",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Refuse and recyclable material collectors,'53-7081,147.9,149.2,1.3,0.9,3.7,16.9,"48,350",No formal educational credential,Detail oriented,Physical strength and stamina,Fine motor,OOH Content
"  Tank car, truck, and ship loaders",'53-7121,12.0,12.5,0.5,4.3,6.6,1.3,"58,070",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,—
"  Material moving workers, all other[2]",'53-7199,27.7,28.9,1.2,4.3,6.1,3.1,"41,690",No formal educational credential,Detail oriented,Adaptability,Physical strength and stamina,—
Footnotes:,',,,,,,,,,,,,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",',,,,,,,,,,,,
[2] Skills information from similar O*NET-SOC occupation(s) imputed for this occupation. More information can be found in the following file: Crosswalk of O*NET-SOC occupations to National Employment Matrix occupations for skills mapping.xlsx.,',,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",',,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",',,,,,,,,,,,,
