2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
        Magnetic resonance imaging technologists,'29-2035,Line item,44.1,47.2,0.0,0.0,3.1,7.1,4.6,2.6,"88,180",Associate's degree,Less than 5 years,None,OOH Content,
        Medical dosimetrists,'29-2036,Line item,4.8,4.9,0.0,0.0,0.2,3.5,13.8,0.2,"138,110",Bachelor's degree,None,None,OOH Content,
      Emergency medical technicians and paramedics,'29-2040,Summary,282.9,297.2,0.2,0.2,14.3,5.0,—,19.0,"46,350",—,—,—,—,
        Emergency medical technicians,'29-2042,Line item,181.0,190.2,0.1,0.1,9.2,5.1,—,14.1,"41,340",Postsecondary nondegree award,None,None,OOH Content,
        Paramedics,'29-2043,Line item,101.9,107.0,0.1,0.1,5.1,5.0,—,4.9,"58,410",Postsecondary nondegree award,Less than 5 years,None,OOH Content,
      Health practitioner support technologists and technicians,'29-2050,Summary,994.3,"1,088.4",0.6,0.6,94.1,9.5,0.2,102.8,"45,010",—,—,—,—,
        Dietetic technicians,'29-2051,Line item,30.9,31.7,0.0,0.0,0.8,2.5,0.7,4.0,"37,040",Associate's degree,None,None,—,
        Pharmacy technicians,'29-2052,Line item,490.4,521.8,0.3,0.3,31.5,6.4,—,49.0,"43,460",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Psychiatric technicians,'29-2053,Line item,144.5,173.3,0.1,0.1,28.9,20.0,—,15.9,"42,590",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,OOH Content,
        Surgical technologists,'29-2055,Line item,115.6,120.8,0.1,0.1,5.2,4.5,0.1,7.0,"62,830",Postsecondary nondegree award,None,None,OOH Content,
        Veterinary technologists and technicians,'29-2056,Line item,134.2,146.4,0.1,0.1,12.2,9.1,1.2,14.3,"45,980",Associate's degree,None,None,OOH Content,
        Ophthalmic medical technicians,'29-2057,Line item,78.8,94.4,0.0,0.1,15.6,19.8,0.7,12.5,"44,080",Postsecondary nondegree award,None,None,—,
      Licensed practical and licensed vocational nurses,'29-2061,Line item,651.4,668.5,0.4,0.4,17.1,2.6,0.3,54.4,"62,340",Postsecondary nondegree award,None,None,OOH Content,
      Medical records specialists,'29-2072,Line item,194.8,208.6,0.1,0.1,13.8,7.1,0.8,14.2,"50,250",Postsecondary nondegree award,None,None,OOH Content,
"      Opticians, dispensing",'29-2081,Line item,79.9,82.2,0.0,0.0,2.3,2.9,—,6.8,"46,560",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Miscellaneous health technologists and technicians,'29-2090,Summary,199.6,212.2,0.1,0.1,12.6,6.3,0.5,15.4,"49,600",—,—,—,—,
        Orthotists and prosthetists,'29-2091,Line item,10.1,11.5,0.0,0.0,1.3,13.3,—,0.9,"78,310",Master's degree,None,Internship/residency,OOH Content,
        Hearing aid specialists,'29-2092,Line item,10.7,12.6,0.0,0.0,2.0,18.4,0.5,1.0,"61,560",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Health technologists and technicians, all other",'29-2099,Line item,178.8,188.1,0.1,0.1,9.3,5.2,0.5,13.6,"48,790",Postsecondary nondegree award,None,None,—,
    Other healthcare practitioners and technical occupations,'29-9000,Summary,146.7,159.8,0.1,0.1,13.1,8.9,7.3,10.2,"62,820",—,—,—,—,
      Health information technologists and medical registrars,'29-9021,Line item,41.9,48.1,0.0,0.0,6.2,14.7,7.8,3.2,"67,310",Associate's degree,None,None,OOH Content,
      Miscellaneous health practitioners and technical workers,'29-9090,Summary,104.8,111.8,0.1,0.1,6.9,6.6,7.1,7.0,"61,890",—,—,—,—,
        Athletic trainers,'29-9091,Line item,33.9,37.6,0.0,0.0,3.8,11.1,6.2,2.4,"60,250",Master's degree,None,None,OOH Content,
        Genetic counselors,'29-9092,Line item,4.0,4.3,0.0,0.0,0.4,9.3,8.1,0.3,"98,910",Master's degree,None,None,OOH Content,
        Surgical assistants,'29-9093,Line item,25.3,26.6,0.0,0.0,1.3,5.1,8.6,1.6,"60,290",Postsecondary nondegree award,None,None,OOH Content,
"        Healthcare practitioners and technical workers, all other",'29-9099,Line item,41.7,43.1,0.0,0.0,1.5,3.6,6.8,2.6,"64,030",Postsecondary nondegree award,None,None,—,
  Healthcare support occupations,'31-0000,Summary,"7,982.8","8,971.1",4.7,5.1,988.3,12.4,2.7,"1,286.7","37,180",—,—,—,—,
"    Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",'31-1100,Summary,"5,881.6","6,655.6",3.5,3.8,774.1,13.2,2.4,983.0,"35,940",—,—,—,—,
      Home health and personal care aides,'31-1120,Line item,"4,347.7","5,087.5",2.6,2.9,739.8,17.0,2.8,765.8,"34,900",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"      Nursing assistants, orderlies, and psychiatric aides",'31-1130,Summary,"1,533.9","1,568.1",0.9,0.9,34.2,2.2,1.2,217.1,"39,470",—,—,—,—,
        Nursing assistants,'31-1131,Line item,"1,441.5","1,474.0",0.8,0.8,32.6,2.3,1.3,204.1,"39,530",Postsecondary nondegree award,None,None,OOH Content,
        Orderlies,'31-1132,Line item,54.0,55.8,0.0,0.0,1.8,3.3,—,7.8,"37,700",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Psychiatric aides,'31-1133,Line item,38.5,38.3,0.0,0.0,-0.1,-0.4,1.8,5.3,"41,590",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
    Occupational therapy and physical therapist assistants and aides,'31-2000,Summary,211.5,246.9,0.1,0.1,35.4,16.7,0.5,34.3,"61,730",—,—,—,—,
      Occupational therapy assistants and aides,'31-2010,Summary,54.4,64.0,0.0,0.0,9.6,17.6,—,7.9,"66,050",—,—,—,—,
        Occupational therapy assistants,'31-2011,Line item,49.2,58.7,0.0,0.0,9.5,19.2,—,7.2,"68,340",Associate's degree,None,None,OOH Content,
        Occupational therapy aides,'31-2012,Line item,5.2,5.3,0.0,0.0,0.1,2.5,—,0.6,"37,370",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Physical therapist assistants and aides,'31-2020,Summary,157.1,182.9,0.1,0.1,25.8,16.4,0.7,26.4,"60,050",—,—,—,—,
        Physical therapist assistants,'31-2021,Line item,111.5,136.0,0.1,0.1,24.5,22.0,0.7,19.8,"65,510",Associate's degree,None,None,OOH Content,
        Physical therapist aides,'31-2022,Line item,45.6,46.9,0.0,0.0,1.3,2.8,0.7,6.6,"34,520",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
    Other healthcare support occupations,'31-9000,Summary,"1,889.7","2,068.5",1.1,1.2,178.8,9.5,4.2,269.4,"45,000",—,—,—,—,
      Massage therapists,'31-9011,Line item,168.0,193.9,0.1,0.1,25.9,15.4,41.9,24.7,"57,950",Postsecondary nondegree award,None,None,OOH Content,
      Miscellaneous healthcare support occupations,'31-9090,Summary,"1,721.7","1,874.6",1.0,1.1,152.9,8.9,0.5,244.7,"44,720",—,—,—,—,
        Dental assistants,'31-9091,Line item,381.9,406.3,0.2,0.2,24.4,6.4,0.7,52.9,"47,300",Postsecondary nondegree award,None,None,OOH Content,
        Medical assistants,'31-9092,Line item,811.0,912.2,0.5,0.5,101.2,12.5,—,112.3,"44,200",Postsecondary nondegree award,None,None,OOH Content,
        Medical equipment preparers,'31-9093,Line item,76.5,84.2,0.0,0.0,7.6,10.0,3.4,10.9,"46,490",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Medical transcriptionists,'31-9094,Line item,43.9,41.8,0.0,0.0,-2.2,-4.9,0.8,7.4,"37,550",Postsecondary nondegree award,None,None,OOH Content,
        Pharmacy aides,'31-9095,Line item,41.1,41.1,0.0,0.0,-0.1,-0.1,—,6.1,"37,000",High school diploma or equivalent,None,Short-term on-the-job training,—,
        Veterinary assistants and laboratory animal caretakers,'31-9096,Line item,117.8,128.1,0.1,0.1,10.3,8.7,0.2,22.2,"37,320",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Phlebotomists,'31-9097,Line item,139.7,147.5,0.1,0.1,7.9,5.6,—,18.4,"43,660",Postsecondary nondegree award,None,None,OOH Content,
"        Healthcare support workers, all other",'31-9099,Line item,109.7,113.5,0.1,0.1,3.8,3.5,2.5,14.4,"46,050",High school diploma or equivalent,None,None,—,
  Protective service occupations,'33-0000,Summary,"3,787.4","3,816.6",2.2,2.2,29.1,0.8,0.4,423.6,"50,580",—,—,—,—,
    Supervisors of protective service workers,'33-1000,Summary,408.4,417.1,0.2,0.2,8.7,2.1,0.1,30.8,"87,050",—,—,—,—,
      First-line supervisors of law enforcement workers,'33-1010,Summary,217.9,220.9,0.1,0.1,3.0,1.4,—,15.2,"99,130",—,—,—,—,
        First-line supervisors of correctional officers,'33-1011,Line item,57.1,55.5,0.0,0.0,-1.6,-2.8,—,4.3,"76,310",High school diploma or equivalent,Less than 5 years,None,—,
        First-line supervisors of police and detectives,'33-1012,Line item,160.8,165.4,0.1,0.1,4.6,2.9,—,10.9,"105,980",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—,
      First-line supervisors of firefighting and prevention workers,'33-1021,Line item,97.2,100.5,0.1,0.1,3.4,3.4,—,6.5,"92,430",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,—,
"      Miscellaneous first-line supervisors, protective service workers",'33-1090,Summary,93.3,95.6,0.1,0.1,2.3,2.5,0.6,9.1,"60,190",—,—,—,—,
        First-line supervisors of security workers,'33-1091,Line item,71.9,73.8,0.0,0.0,1.9,2.7,0.7,7.0,"58,610",High school diploma or equivalent,Less than 5 years,None,—,
"        First-line supervisors of protective service workers, all other",'33-1099,Line item,21.5,21.8,0.0,0.0,0.3,1.6,0.3,2.1,"74,960",High school diploma or equivalent,Less than 5 years,None,—,
    Firefighting and prevention workers,'33-2000,Summary,362.5,375.3,0.2,0.2,12.8,3.5,0.0,28.9,"59,870",—,—,—,—,
      Firefighters,'33-2011,Line item,344.9,356.7,0.2,0.2,11.8,3.4,0.0,27.1,"59,530",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content,
      Fire inspectors,'33-2020,Summary,17.6,18.6,0.0,0.0,1.0,5.6,—,1.8,"75,480",—,—,—,—,
        Fire inspectors and investigators,'33-2021,Line item,14.7,15.2,0.0,0.0,0.6,3.8,—,1.5,"78,060",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,OOH Content,
        Forest fire inspectors and prevention specialists,'33-2022,Line item,2.9,3.3,0.0,0.0,0.4,14.6,—,0.3,"52,380",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
    Law enforcement workers,'33-3000,Summary,"1,241.6","1,232.0",0.7,0.7,-9.7,-0.8,0.1,94.8,"70,530",—,—,—,—,
"      Bailiffs, correctional officers, and jailers",'33-3010,Summary,406.5,376.0,0.2,0.2,-30.5,-7.5,0.3,31.9,"57,950",—,—,—,—,
        Bailiffs,'33-3011,Line item,19.0,18.6,0.0,0.0,-0.4,-2.2,6.3,1.8,"57,050",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Correctional officers and jailers,'33-3012,Line item,387.5,357.4,0.2,0.2,-30.1,-7.8,—,30.1,"57,970",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Detectives and criminal investigators,'33-3021,Line item,117.9,117.1,0.1,0.1,-0.8,-0.7,—,7.8,"93,580",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
      Fish and game wardens,'33-3031,Line item,7.0,6.6,0.0,0.0,-0.4,-6.0,—,0.5,"68,180",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Parking enforcement workers,'33-3041,Line item,8.4,8.2,0.0,0.0,-0.1,-1.5,—,0.7,"47,150",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Police officers,'33-3050,Summary,701.9,724.0,0.4,0.4,22.1,3.1,0.1,53.9,"76,300",—,—,—,—,
        Police and sheriff's patrol officers,'33-3051,Line item,698.8,720.8,0.4,0.4,22.0,3.1,0.1,53.7,"76,290",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Transit and railroad police,'33-3052,Line item,3.1,3.2,0.0,0.0,0.1,3.0,1.8,0.2,"82,320",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
    Other protective service workers,'33-9000,Summary,"1,774.8","1,792.2",1.0,1.0,17.4,1.0,0.6,269.0,"38,230",—,—,—,—,
      Animal control workers,'33-9011,Line item,12.2,12.7,0.0,0.0,0.5,3.9,—,1.3,"45,830",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Private detectives and investigators,'33-9021,Line item,43.6,46.2,0.0,0.0,2.6,6.0,10.8,3.9,"52,370",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
      Security guards and gambling surveillance officers,'33-9030,Summary,"1,272.4","1,277.5",0.7,0.7,5.1,0.4,0.5,162.3,"38,390",—,—,—,—,
        Gambling surveillance officers and gambling investigators,'33-9031,Line item,10.3,10.3,0.0,0.0,0.0,0.3,—,1.3,"43,900",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
        Security guards,'33-9032,Line item,"1,262.1","1,267.1",0.7,0.7,5.1,0.4,0.5,161.0,"38,370",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Miscellaneous protective service workers,'33-9090,Summary,446.6,455.8,0.3,0.3,9.2,2.1,0.0,101.4,"37,120",—,—,—,—,
        Crossing guards and flaggers,'33-9091,Line item,91.4,94.7,0.1,0.1,3.3,3.6,—,18.0,"37,700",No formal educational credential,None,Short-term on-the-job training,—,
"        Lifeguards, ski patrol, and other recreational protective service workers",'33-9092,Line item,149.7,158.4,0.1,0.1,8.7,5.8,—,42.7,"33,720",No formal educational credential,None,Short-term on-the-job training,—,
        Transportation security screeners,'33-9093,Line item,50.1,47.1,0.0,0.0,-3.0,-6.0,0.3,4.7,"63,360",High school diploma or equivalent,None,Short-term on-the-job training,—,
        School bus monitors,'33-9094,Line item,71.4,69.5,0.0,0.0,-2.0,-2.7,—,12.6,"34,980",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Protective service workers, all other",'33-9099,Line item,84.0,86.1,0.0,0.0,2.1,2.5,—,23.3,"41,600",High school diploma or equivalent,None,Short-term on-the-job training,—,
  Food preparation and serving related occupations,'35-0000,Summary,"13,805.3","14,295.3",8.1,8.2,489.9,3.5,0.7,"2,625.8","34,130",—,—,—,—,
    Supervisors of food preparation and serving workers,'35-1000,Summary,"1,412.3","1,499.3",0.8,0.9,87.0,6.2,2.3,208.3,"44,140",—,—,—,—,
      Chefs and head cooks,'35-1011,Line item,197.3,211.3,0.1,0.1,14.0,7.1,6.3,24.4,"60,990",High school diploma or equivalent,5 years or more,None,OOH Content,
      First-line supervisors of food preparation and serving workers,'35-1012,Line item,"1,215.0","1,288.0",0.7,0.7,73.0,6.0,1.6,183.9,"42,010",High school diploma or equivalent,Less than 5 years,None,—,
    Cooks and food preparation workers,'35-2000,Summary,"3,707.8","3,807.5",2.2,2.2,99.7,2.7,0.9,580.2,"35,450",—,—,—,—,
      Cooks,'35-2010,Summary,"2,805.1","2,935.7",1.7,1.7,130.6,4.7,1.1,432.2,"35,760",—,—,—,—,
"        Cooks, fast food",'35-2011,Line item,669.5,579.2,0.4,0.3,-90.3,-13.5,—,82.1,"30,160",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Cooks, institution and cafeteria",'35-2012,Line item,466.1,475.4,0.3,0.3,9.3,2.0,—,69.7,"36,450",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Cooks, private household",'35-2013,Line item,34.2,36.0,0.0,0.0,1.7,5.1,86.9,5.3,"44,530",Postsecondary nondegree award,Less than 5 years,None,OOH Content,
"        Cooks, restaurant",'35-2014,Line item,"1,460.2","1,677.2",0.9,1.0,217.0,14.9,—,250.7,"36,830",No formal educational credential,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Cooks, short order",'35-2015,Line item,151.1,142.7,0.1,0.1,-8.4,-5.6,—,20.6,"35,620",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Cooks, all other",'35-2019,Line item,24.0,25.3,0.0,0.0,1.3,5.5,—,3.7,"36,210",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Food preparation workers,'35-2021,Line item,902.7,871.8,0.5,0.5,-30.9,-3.4,0.5,148.0,"34,220",No formal educational credential,None,Short-term on-the-job training,OOH Content,
    Food and beverage serving workers,'35-3000,Summary,"7,159.6","7,429.5",4.2,4.2,269.8,3.8,0.3,"1,538.6","31,470",—,—,—,—,
      Bartenders,'35-3011,Line item,756.7,801.5,0.4,0.5,44.8,5.9,0.4,129.6,"33,530",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Fast food and counter workers,'35-3023,Line item,"3,796.0","4,029.2",2.2,2.3,233.2,6.1,0.1,904.3,"30,480",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Waiters and waitresses,'35-3031,Line item,"2,329.7","2,313.5",1.4,1.3,-16.3,-0.7,0.7,456.7,"33,760",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Food servers, nonrestaurant",'35-3041,Line item,277.2,285.3,0.2,0.2,8.2,3.0,0.1,48.0,"34,460",No formal educational credential,None,Short-term on-the-job training,OOH Content,
    Other food preparation and serving related workers,'35-9000,Summary,"1,525.6","1,559.0",0.9,0.9,33.4,2.2,0.3,298.7,"32,680",—,—,—,—,
      Dining room and cafeteria attendants and bartender helpers,'35-9011,Line item,527.4,560.6,0.3,0.3,33.1,6.3,0.2,99.6,"32,670",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Dishwashers,'35-9021,Line item,477.7,478.6,0.3,0.3,0.9,0.2,0.6,76.8,"33,670",No formal educational credential,None,Short-term on-the-job training,—,
"      Hosts and hostesses, restaurant, lounge, and coffee shop",'35-9031,Line item,429.9,423.5,0.3,0.2,-6.4,-1.5,0.1,107.7,"30,380",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Food preparation and serving related workers, all other",'35-9099,Line item,90.5,96.3,0.1,0.1,5.8,6.4,—,14.6,"34,830",No formal educational credential,None,Short-term on-the-job training,—,
  Building and grounds cleaning and maintenance occupations,'37-0000,Summary,"5,715.9","5,832.9",3.4,3.3,117.1,2.0,13.0,788.7,"36,790",—,—,—,—,
    Supervisors of building and grounds cleaning and maintenance workers,'37-1000,Summary,494.5,506.4,0.3,0.3,11.9,2.4,37.7,56.3,"49,990",—,—,—,—,
      First-line supervisors of housekeeping and janitorial workers,'37-1011,Line item,269.8,276.4,0.2,0.2,6.7,2.5,32.6,33.0,"47,520",High school diploma or equivalent,Less than 5 years,None,—,
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",'37-1012,Line item,224.7,230.0,0.1,0.1,5.2,2.3,43.9,23.2,"56,170",High school diploma or equivalent,Less than 5 years,None,—,
